Titulo Principal,Titulo Secundario,Autor,N° Ref
The possessed :,,Fyodor Dostoyevsky,132
A Journey to the Centre of the Earth,,Jules Verne,132
The Federalist Papers,,Alexander Hamilton and John Jay and James Madison,131
Fox's Book of Martyrs,,John Foxe,131
Les trois mousquetaires,,Alexandre Dumas and Auguste Maquet,131
Essays,,Ralph Waldo Emerson by Ralph Waldo Emerson,130
Korean—English Dictionary,,Leon Kuperman,130
"Pamela, or Virtue Rewarded",,Samuel Richardson,129
The Aeneid,,Virgil,129
Life on the Mississippi,,Mark Twain,129
Submerged forests,,Clement Reid,128
Up from Slavery: An Autobiography,,Booker T. Washington,128
Rizal's own story of his life,,José Rizal,128
Daddy Takes Us to the Garden,,Howard Roger Garis,128
An Occurrence at Owl Creek Bridge,,Ambrose Bierce,127
The Alchemist,,Ben Jonson,127
My Bondage and My Freedom,,Frederick Douglass,127
"The Garden Party, and Other Stories",,Katherine Mansfield,124
Democracy in America — Volume 2,,Alexis de Tocqueville,124
Best Russian Short Stories,,,124
Project Gutenberg Compilation of Short Stories,,Chekhov by Anton Pavlovich Chekhov,124
The Song Celestial,,,124
The Wendigo,,Algernon Blackwood,124
Poems Every Child Should Know,,,124
The Fall of the House of Usher,,Edgar Allan Poe,123
A Christmas Carol,,Charles Dickens,123
Revelations of Divine Love,,,123
Poems,,"Emily Dickinson, Three Series, Complete by Emily Dickinson",123
An Enemy of the People,,Henrik Ibsen,122
The Valley of Fear,,Arthur Conan Doyle,122
A Midsummer Night's Dream,,William Shakespeare,122
Phaedo,,Plato,121
Charmes,,Paul Valéry,121
The Divine Comedy of Dante Alighieri: The Inferno,,Dante Alighieri,121
"The Rape of the Lock, and Other Poems",,Alexander Pope,121
"The Extraordinary Adventures of Arsène Lupin, Gentleman-Burglar",,Maurice Leblanc,120
The Grand Inquisitor,,Fyodor Dostoyevsky,119
The Angel in the House,,Coventry Patmore,118
Fifteen sonnets of Petrarch,,Francesco Petrarca,118
"Bacon's Essays, and Wisdom of the Ancients",,Francis Bacon,118
A Little Princess,,Frances Hodgson Burnett,118
Philippine Folk Tales,,,117
She Stoops to Conquer,The Mistakes of a Night: A Comedy,Oliver Goldsmith,117
Roget's Thesaurus of English Words and Phrases,,Peter Mark Roget,116
Julius Caesar,,William Shakespeare,116
The House of Mirth,,Edith Wharton,116
The Elementary Forms of the Religious Life,,Émile Durkheim,115
Much Ado about Nothing,,William Shakespeare,115
"The Canterbury Tales, and Other Poems",,Geoffrey Chaucer,114
Black Beauty,,Anna Sewell,114
Poirot Investigates,,Agatha Christie,113
The Gift of the Magi,,O. Henry,113
The Book of the Courtier,,conte Baldassarre Castiglione,113
A Dictionary of Cebuano Visayan,,John U. Wolff,113
The Satyricon — Complete,,Petronius Arbiter,113
Mansfield Park,,Jane Austen,113
"The Ladies' Book of Etiquette, and Manual of Politeness",,Florence Hartley,112
The Adventures of Pinocchio,,Carlo Collodi,111
Gulliver's Travels into Several Remote Regions of the World,,Jonathan Swift,111
Ivanhoe: A Romance,,Walter Scott,111
