Titulo Principal,Titulo Secundario,Autor,N° Ref
Public Opinion,,Walter Lippmann,311
The Orbis Pictus,,Johann Amos Comenius,311
A Complete Dictionary of Synonyms and Antonyms,,Samuel Fallows,310
Father Goriot,,Honoré de Balzac,310
She,,H. Rider  Haggard,309
Rilla of Ingleside,,L. M.  Montgomery,309
"Napoleon's Letters to Josephine, 1796-1812",,Emperor of the French Napoleon I,308
The Power of Mesmerism,,Anonymous,308
Babbitt,,Sinclair Lewis,308
"The Schoolmistress, and Other Stories",,Anton Pavlovich Chekhov,308
"The Danish History, Books I-IX",,Grammaticus Saxo,307
The Arabian Nights: Their Best-known Tales,,,307
Sketches New and Old,,Mark Twain,307
How to Live on 24 Hours a Day,,Arnold Bennett,307
The Secret of Chimneys,,Agatha Christie,307
My Reminiscences,,Rabindranath Tagore,307
"Slave Narratives: A Folk History of Slavery in the United States from Interviews with Former Slaves,",,,306
Plutarch: Lives of the noble Grecians and Romans,,Plutarch,306
The Works of Horace,,Horace,305
Pictures from Italy,,Charles Dickens,304
King Solomon's Mines,,H. Rider  Haggard,303
Phantastes: A Faerie Romance for Men and Women,,George MacDonald,303
The Marvelous Land of Oz,,L. Frank  Baum,303
A Prose English Translation of Harivamsha,,,302
"Dhammapada, a Collection of Verses; Being One of the Canonical Books of the Buddhists",,,301
Creative Chemistry: Descriptive of Recent Achievements in the Chemical Industries,,Slosson,300
Four Arthurian Romances,,active 12th century de Troyes Chrétien,299
"The Vision and Creed of Piers Ploughman, Volume 1",,William Langland,299
The Advancement of Learning,,Francis Bacon,298
The Dawn of Day,,Friedrich Wilhelm Nietzsche,298
The Fairy Tales of Charles Perrault,,Charles Perrault,298
The World's Sixteen Crucified Saviors,Christianity Before Christ,Kersey Graves,297
The Convent School,Early Experiences of a Young Flagellant,Rosa Belinda Coote,297
The gardener,,Rabindranath Tagore,297
Demian,,Hermann Hesse,297
Erotica Romana,,Johann Wolfgang von Goethe,297
O Pioneers!,,Willa Cather,296
"The Natural History of Pliny, Volume 1",,the Elder Pliny,296
The First Blast of the Trumpet against the monstrous regiment of Women,,John Knox,296
El Hombre Mediocre: Ensayo de psicologia y moral,,José Ingenieros,296
Fifteen Thousand Useful Phrases,,Grenville Kleiser,296
"Obras Completas de Luis de Camões, Tomo II",,Luís de Camões,296
Areopagitica,,John Milton,295
El libro de las tierras vírgenes,,Rudyard Kipling,295
Buddenbrooks: Verfall einer Familie,,Thomas Mann,295
Men without women,,Ernest Hemingway,295
The Tragedy of Romeo and Juliet,,William Shakespeare,294
Siddhartha: eine indische Dichtung,,Hermann Hesse,294
"How to Tell a Story, and Other Essays",,Mark Twain,294
Das Kreuz im Venn :,,Clara Viebig,293
Lucian's True History,,of Samosata Lucian,293
The Wonders of the Invisible World,,Cotton Mather and Increase Mather,293
An Introduction to Mathematics,,Alfred North Whitehead,293
The Rime of the Ancient Mariner,,Samuel Taylor Coleridge,292
Red Nails,,Robert E.  Howard,292
The Conjure Woman,,Charles W.  Chesnutt,292
Maggie: A Girl of the Streets,,Stephen Crane,292
Memoirs of General William T. Sherman — Complete,,William T.  Sherman,292
Roget's Thesaurus,,Peter Mark Roget,291
Outline of the history of the English language and literature,,Anonymous,291
The United States Bill of Rights,,United States,290
The Imaginary Invalid,,Molière,290
Dracula,,Bram Stoker,289
"Knickerbocker's History of New York, Complete",,Washington Irving,289
Fenimore Cooper's Literary Offences,,Mark Twain,289
The Uncommercial Traveller,,Charles Dickens,289
The Haunted Man and the Ghost's Bargain,,Charles Dickens,289
Le roman de la rose - Tome I,,de Lorris Guillaume and de Meun Jean,289
The Figure in the Carpet,,Henry James,289
The History of Sir Richard Whittington,,,288
One Thousand Ways to Make Money,,Page Fox,288
Now we are six,,A. A.  Milne,288
The Birds,,Aristophanes,287
Clerambault :,,Romain Rolland,287
Favorite Fairy Tales,,,287
Galen: On the Natural Faculties,,Galen,286
English Fairy Tales,,Flora Annie Webster Steel,286
"The History of Mary Prince, a West Indian Slave",,Mary Prince,285
The Fables of La Fontaine,,Jean de La Fontaine,285
Maria,The Wrongs of Woman,Mary Wollstonecraft,285
Ghost Stories of an Antiquary,,M. R.  James,285
At the mountains of madness,,H. P.  Lovecraft,285
"The Essays or Counsels, Civil and Moral",,Francis Bacon,285
Poems,,Rainer Maria Rilke,284
"Shakespeare, William",,,53699
"Shelley, Mary Wollstonecraft",,,41567
"Dickens, Charles",,,36686
"Smollett, T.",,,30039
"Austen, Jane",,,28831
"Twain, Mark",,,28441
"Wilde, Oscar",,,23199
"Dostoyevsky, Fyodor",,,22126
"Dumas, Alexandre",,,21194
"Melville, Herman",,,20981
"Doyle, Arthur Conan",,,20263
"Hawthorne, Nathaniel",,,19007
"Garnett, Constance",,,18601
"Nietzsche, Friedrich Wilhelm",,,18579
"Montgomery, L. M.",,,17931
"Maquet, Auguste",,,17885
"Alcott, Louisa May",,,17778
"Carroll, Lewis",,,17536
"Stevenson, Robert Louis",,,16405
"Eliot, George",,,15968
Plato,,,15875
"Jowett, Benjamin",,,14520
"Forster, E. M.",,,14469
Homer,,,13469
"Merrill, Frank T.",,,13040
"Ibsen, Henrik",,,12806
"Wells, H. G.",,,12600
"Foote, Mary Hallock",,,12595
"Anthony, A. V. S.",,,12433
"Ipsen, Ludvig Sandöe",,,12433
"Gaskell, Elizabeth Cleghorn",,,12157
"Widger, David",,,12025
"Poe, Edgar Allan",,,11896
"Irving, Washington",,,11692
"Tolstoy, Leo, graf",,,11548
"Rizal, José",,,11127
"Von Arnim, Elizabeth",,,11050
"Fielding, Henry",,,10762
"Hugo, Victor",,,10677
"Kafka, Franz",,,10567
"Wagner, Richard",,,10340
"Brock, C. E.",,,10284
"Cervantes Saavedra, Miguel de",,,10212
"Swift, Jonathan",,,10195
"Verne, Jules",,,9960
"Doré, Gustave",,,9894
"Conrad, Joseph",,,9740
"Stoker, Bram",,,9689
"Joyce, James",,,9005
"Fitzgerald, F. Scott",,,8970
"Wyllie, David",,,8700
"London, Jack",,,8508
"James, Henry",,,8504
"Kipling, Rudyard",,,8449
"Baum, L. Frank",,,8273
Dante Alighieri,,,8261
"Chesterton, G. K.",,,8062
"Russell, Bertrand",,,7752
"Goethe, Johann Wolfgang von",,,7735
"Morley, Henry",,,7602
"Gilman, Charlotte Perkins",,,7548
"Lang, Andrew",,,7534
"Chekhov, Anton Pavlovich",,,7475
"Kemble, E. W.",,,7378
"Pope, Alexander",,,7333
"Balzac, Honoré de",,,7231
"Du Bois, W. E. B.",,,7040
"Patten, William",,,6806
"Burton, Richard Francis, Sir",,,6685
"Leech, John",,,6591
"Christie, Agatha",,,6588
"Locke, John",,,6476
"Levy, Oscar",,,6389
"Defoe, Daniel",,,6317
"Grimm, Jacob",,,6283
"Grimm, Wilhelm",,,6283
"Maupassant, Guy de",,,6248
"Scott, Walter",,,6178
"Butler, Samuel",,,6127
"Shaw, Bernard",,,6109
"Hobbes, Thomas",,,5959
"Kant, Immanuel",,,5925
"Brontë, Charlotte",,,5885
"Wharton, Edith",,,5817
"Bell, George",,,5789
"Thoreau, Henry David",,,5713
"Machiavelli, Niccolò",,,5649
"Maude, Aylmer",,,5461
"Mill, John Stuart",,,5434
"Rackham, Arthur",,,5385
"Robertson, James Alexander",,,5371
"Hall, J. Lesslie",,,5317
Voltaire,,,5289
"Maude, Louise",,,5202
"Burroughs, Edgar Rice",,,5131
"Derbyshire, Charles E.",,,5113
"Townsend, F. H.",,,5070
"Ormsby, John",,,5043
Aristotle,,,5010
"Augustine, Saint, Bishop of Hippo",,,4999
"Proust, Marcel",,,4998
"Common, Thomas",,,4997
"Blair, Emma Helen",,,4865
"Murray, Gilbert",,,4783
"Bourne, Edward Gaylord",,,4734
"Chambers, Robert W.",,,4678
"Burnett, Frances Hodgson",,,4660
"Barrie, J. M.",,,4644
"Buckley, Theodore Alois",,,4590
"Marriott, W. K.",,,4496
"Hardy, Thomas",,,4451
"Byron, George Gordon Byron, Baron",,,4417
"Jonson, Ben",,,4396
"Lytton, Edward Bulwer Lytton, Baron",,,4387
"Flaubert, Gustave",,,4378
"Malory, Thomas, Sir",,,4157
"Milne, A. A.",,,4131
Aesop,,,4068
"Schopenhauer, Arthur",,,4066
"Douglass, Frederick",,,4064
"Zimmern, Helen",,,4040
"Marlowe, Christopher",,,3998
"Milton, John",,,3987
"Bierce, Ambrose",,,3977
"Darwin, Charles",,,3904
"Roosevelt, Theodore",,,3856
"Le Fanu, Joseph Sheridan",,,3843
"Lawrence, D. H.",,,3768
"Wodehouse, P. G.",,,3761
"Yeats, W. B.",,,3758
"Galsworthy, John",,,3757
"Zola, Émile",,,3690
"Cary, Henry Francis",,,3674
"Potter, Beatrix",,,3663
"Davidson, Thomas",,,3657
"Hapgood, Isabel Florence",,,3626
"Pusey, E. B.",,,3615
"MacDonald, George",,,3591
United States. Central Intelligence Agency,,,3589
"Brontë, Emily",,,3583
"Hume, David",,,3507
"Ogden, C. K.",,,3472
"Seaman, Owen",,,3460
"Wittgenstein, Ludwig",,,3438
"Ruskin, John",,,3419
Xenophon,,,3389
"Howells, William Dean",,,3384
"Chaucer, Geoffrey",,,3382
"Riley, Henry T.",,,3378
Sophocles,,,3366
"Emerson, Ralph Waldo",,,3334
Ovid,,,3324
"Equiano, Olaudah",,,3292
"Tagore, Rabindranath",,,3290
"Franklin, Benjamin",,,3274
"Thompson, Silvanus P.",,,3249
"Chambers, Robert",,,3233
"Eliot, T. S.",,,3214
"Craig, Austin",,,3209
"Emshwiller, Ed",,,3182
"Freud, Sigmund",,,3177
"Jókai, Mór",,,3168
"Collins, Wilkie",,,3148
"Shepard, Ernest H.",,,3132
"Dyce, Alexander",,,3120
"Belloc, Hilaire",,,3091
"Dakyns, Henry Graham",,,3083
Vatsyayana,,,3065
"Chambers, William",,,3061
"Nesbit, E.",,,3036
"Wood, James, Rev.",,,3035
"Blackwood, Algernon",,,3020
"Skeat, Walter W.",,,2981
"Trollope, Anthony",,,2978
United States. Work Projects Administration,,,2974
"Burnand, F. C.",,,2964
"Bhide, Shivaram Parashuram",,,2953
"Indrajit, Bhagavanlal",,,2953
"Andersen, H. C.",,,2942
"Hesse, Hermann",,,2912
"Carlyle, Thomas",,,2892
"Nuttall, P. Austin",,,2888
"Rousseau, Jean-Jacques",,,2881
"Alger, Horatio, Jr.",,,2880
"Dick, Philip K.",,,2870
"Ludovici, Anthony M.",,,2858
"Marcus Aurelius, Emperor of Rome",,,2846
Aristophanes,,,2839
"Starr, Frederick",,,2828
"James, William",,,2823
"Wolf, Edwin",,,2820
"Warner, Charles Dudley",,,2817
"Haggard, H. Rider",,,2804
"Henty, G. A.",,,2784
"Cooper, James Fenimore",,,2772
"Pushkin, Aleksandr Sergeevich",,,2767
Virgil,,,2758
"Spenser, Edmund",,,2752
"Salten, Felix",,,2750
"Ballantyne, R. M.",,,2748
"Baudelaire, Charles",,,2740
"Archer, William",,,2724
"Bond, Nelson S.",,,2717
"Sinclair, Upton",,,2715
"Stowe, Harriet Beecher",,,2714
"Glaspell, Susan",,,2712
"Blake, William",,,2712
"Kingston, William Henry Giles",,,2710
"Lebert, Marie",,,2696
"Child, Lydia Maria",,,2695
"France, Anatole",,,2674
"Jacobs, W. W.",,,2661
"Henry, O.",,,2643
"Cook, Albert S.",,,2640
"Stretton, Hesba",,,2629
"Fenn, George Manville",,,2625
"Yonge, Charlotte M.",,,2623
"Wheatley, Henry B.",,,2622
"Sunzi, active 6th century B.C.",,,2608
"Pérez Galdós, Benito",,,2593
"Neill, John R.",,,2592
"Singleton, Esther",,,2562
"Gosse, Edmund",,,2559
"Dewey, John",,,2555
"Longfellow, Henry Wadsworth",,,2553
Valmiki,,,2544
"Giles, Lionel",,,2537
"Schiller, Friedrich",,,2526
"Crane, Walter",,,2525
"Montaigne, Michel de",,,2523
"Machen, Arthur",,,2521
"Cicero, Marcus Tullius",,,2514
"Jerome, Jerome K.",,,2514
"Bell, Clara",,,2499
"Leblanc, Maurice",,,2492
"Thackeray, William Makepeace",,,2479
"Turgenev, Ivan Sergeevich",,,2477
"Lovecraft, H. P.",,,2475
Thucydides,,,2468
"Ebers, Georg",,,2462
"Leslie, Madeline",,,2451
"Frazer, James George",,,2448
"Teixeira de Mattos, Alexander",,,2444
Molière,,,2426
"Coleridge, Samuel Taylor",,,2409
"Josephus, Flavius",,,2406
Apicius,,,2395
Library of Congress. Copyright Office,,,2389
"Tocqueville, Alexis de",,,2379
"Woolf, Virginia",,,2359
"Blasco Ibáñez, Vicente",,,2358
"Gibbon, Edward",,,2354
"Johnson, William Savage",,,2350
"Vehling, Joseph Dommers",,,2342
"Garis, Howard Roger",,,2335
"Marx, Karl",,,2322
"Engels, Friedrich",,,2309
"Gogol, Nikolai Vasilevich",,,2291
"Smith, Adam",,,2283
"Bennett, Arnold",,,2275
"Lockwood, Ingersoll",,,2267
"Whiston, William",,,2264
"Wells-Barnett, Ida B.",,,2253
"Smith, E. Boyd",,,2253
"Hoffmann, Heinrich",,,2252
"Hazlitt, William Carew",,,2234
"Bacon, Francis",,,2232
"Rhead, Louis",,,2231
"Harte, Bret",,,2223
"Crawley, Richard",,,2214
"Finlay, Virgil",,,2205
"Baring-Gould, S.",,,2200
"Ganguli, Kisari Mohan",,,2191
"Wauchope, George Armstrong",,,2182
"Gautier, Théophile",,,2162
"Parker, Gilbert",,,2161
"Hearn, Lafcadio",,,2159
"Cruikshank, George",,,2158
"Quesada, Louise Charlotte Garstin",,,2151
"Henderson, A. E.",,,2151
"Macaulay, G. C.",,,2151
"McMaster, Albert Cohn",,,2151
"Reeve, Henry",,,2145
"Taylor, Bayard",,,2140
"Bunyan, John",,,2132
"Aveling, Eleanor Marx",,,2131
"Morris, William",,,2117
"Saintsbury, George",,,2113
"Stratemeyer, Edward",,,2107
Plutarch,,,2095
Herodotus,,,2095
"Rowlandson, Mary White",,,2087
"Descartes, René",,,2086
"Gibran, Kahlil",,,2078
"Kennedy, J. M.",,,2073
"Poblete, Pascual Hicaro",,,2068
"Mencken, H. L.",,,2064
"Pine, Frank Woodworth",,,2046
"Meiklejohn, J. M. D.",,,2045
"Howard, Robert E.",,,2044
"Spinoza, Benedictus de",,,2038
"Macaulay, Thomas Babington Macaulay, Baron",,,2035
"Saunders, T. Bailey",,,2030
"Griffith, Ralph T. H.",,,2029
"Platt, Rutherford Hayes",,,2023
"Meredith, George",,,2017
"Luther, Martin",,,2012
"Freas, Kelly",,,1999
"Borrow, George",,,1998
Euripides,,,1989
"Paine, Thomas",,,1984
"Holmes, Oliver Wendell",,,1975
"Figueiredo, Cândido de",,,1973
"Oliphant, Mrs.",,,1960
"Pascal, Blaise",,,1959
"Elwes, R. H. M.",,,1945
"Clark, William George",,,1937
"Garrett, Randall",,,1935
"Crane, Stephen",,,1934
"Burgess, Thornton W.",,,1928
"Riis, Jacob A.",,,1922
"Blavatsky, H. P.",,,1916
"Higginson, Thomas Wentworth",,,1910
"Graham, George R.",,,1907
"Pepys, Samuel",,,1905
"Fuqua, Robert",,,1897
"Milman, Henry Hart",,,1889
"Braybrooke, Richard Griffin, Baron",,,1871
"Clarke, Harry",,,1869
"Lowell, James Russell",,,1868
"Kean, Charles John",,,1863
"Queirós, Eça de",,,1862
"Bright, Mynors",,,1848
"Pyle, Howard",,,1840
"Daudet, Alphonse",,,1835
"Strindberg, August",,,1829
"Vernon Jones, V. S.",,,1825
"Tenniel, John",,,1822
"Whitman, Walt",,,1816
"Jacobs, Harriet A.",,,1814
"Mann, Thomas",,,1812
"Sand, George",,,1812
Boethius,,,1811
"Cotton, Charles",,,1810
"Calderón, Sofronio G.",,,1801
"Stockton, Frank R.",,,1798
"Gorky, Maksim",,,1786
"Baroja, Pío",,,1771
"Johnson, Samuel",,,1770
"Wordsworth, William",,,1764
"Winter, Milo",,,1737
"Maeterlinck, Maurice",,,1735
"Rogers, Walter S.",,,1735
"Grahame, Kenneth",,,1733
"Felter, John D.",,,1731
"Glover, John, librarian of Trinity College, Cambridge",,,1728
"Lindsay, Norman",,,1728
"Morris, Richard",,,1722
"Leroux, Gaston",,,1719
"Samuel, Horace Barnett",,,1705
"AlHydar, Majid",,,1700
"Hammerton, J. A.",,,1698
"Erasmus, Desiderius",,,1680
"Kingsley, Charles",,,1676
"Wormeley, Katharine Prescott",,,1675
"Hemingway, Ernest",,,1672
"Terry, W. E.",,,1669
"Cleland, John",,,1664
"Walpole, Horace",,,1652
"Strunk, William",,,1652
"Maugham, W. Somerset",,,1648
"Reid, Mayne",,,1646
"Yonge, Charles Duke",,,1641
"Dryden, John",,,1639
"Orban, Paul",,,1628
"Lindsay, Jack",,,1627
"Wollstonecraft, Mary",,,1614
"James, H. R.",,,1604
"La Fontaine, Jean de",,,1604
"Andreyev, Leonid",,,1602
"Braddon, M. E.",,,1596
"Leinster, Murray",,,1594
"Tacitus, Cornelius",,,1593
"Bull, Charles Livingston",,,1593
"Ellis, Havelock",,,1585
"Jefferson, Thomas",,,1577
"Grey, Zane",,,1575
Laozi,,,1565
"Abbott, Jacob",,,1561
"Chopin, Kate",,,1560
Vitruvius Pollio,,,1557
"Castelo Branco, Camilo",,,1552
"Boylan, R. Dillon",,,1549
"Le Queux, William",,,1547
"De Quincey, Thomas",,,1546
"Piper, H. Beam",,,1546
"Ellis, Edward Sylvester",,,1546
"Vizetelly, Ernest Alfred",,,1545
"Long, William J.",,,1545
"Paget, Walter",,,1542
"FitzGerald, Edward",,,1542
"Orczy, Emmuska Orczy, Baroness",,,1531
"Thorne, Eglanton",,,1526
"De Laurence, L. W.",,,1522
"Burke, Edmund",,,1521
"Jacobs, Joseph",,,1516
"Flameng, François",,,1513
"Mille, Pierre",,,1510
"Vonnegut, Kurt",,,1505
Stendhal,,,1494
"Holbein, Hans",,,1494
"Wiggin, Kate Douglas Smith",,,1492
"Hayashi, Kiyotoshi",,,1487
"Polidori, John William",,,1485
"Mabie, Hamilton Wright",,,1477
"Lodge, Henry Cabot",,,1476
"Meade, L. T.",,,1469
"Rostand, Edmond",,,1469
"Guizot, François",,,1467
"Harrison, James A.",,,1464
"Sharp, Robert",,,1464
"Honig, Winfried",,,1458
"Beebe, William",,,1455
"Hume, Fergus",,,1450
"Addison, Joseph",,,1447
"Linnell, Bruce R.",,,1446
"Marriage, Ellen",,,1445
"Ward, Humphry, Mrs.",,,1441
"Rolland, Romain",,,1440
"Synge, J. M.",,,1435
"Rhys, Ernest",,,1431
"Wells, Carolyn",,,1431
"Steele, Richard, Sir",,,1431
"Willis, Nathaniel Parker",,,1429
"Mérimée, Prosper",,,1428
"Haussmann, William A.",,,1421
"Boccaccio, Giovanni",,,1421
"Hope, Laura Lee",,,1416
"Williams, Blanche Colton",,,1409
"Brinton, Daniel G.",,,1406
"Clausewitz, Carl von",,,1404
"Dods, Marcus",,,1388
"Motley, John Lothrop",,,1381
"Huxley, Thomas Henry",,,1381
"Camões, Luís de",,,1376
"Keats, John",,,1375
"Cather, Willa",,,1372
"Lincoln, Abraham",,,1365
"Rand, Ayn",,,1361
"Graham, J. J.",,,1360
"Tennyson, Alfred Tennyson, Baron",,,1356
"Marryat, Frederick",,,1349
"Sabatini, Rafael",,,1348
"Quiller-Couch, Arthur",,,1346
"McCauley, Harold W.",,,1344
"Optic, Oliver",,,1342
"Dickerman, Donald Horace",,,1327
"Spyri, Johanna",,,1321
"Schoenherr, John",,,1320
"Atkinson, William Walker",,,1318
"Aimard, Gustave",,,1317
"Madison, James",,,1316
"Smith, Preserved",,,1314
"Lever, Charles James",,,1313
"Perrault, Charles",,,1311
"Oppenheim, E. Phillips",,,1310
"Selby-Bigge, L. A.",,,1306
"Smyth, W. H.",,,1305
"Cohn, Paul V.",,,1303
"Collodi, Carlo",,,1300
"Scott, A. O.",,,1299
"Safford, Mary J.",,,1294
"Lamb, Charles",,,1293
"Franklin, Dwight",,,1293
"Cooper, Isabel",,,1293
"Putnam, David Binney",,,1293
"Seneca, Lucius Annaeus",,,1292
"Churchill, Winston",,,1287
"Benson, E. F.",,,1284
"Legge, James",,,1284
"Nicoll, W. Robertson",,,1282
"Belcher, Edward, Sir",,,1279
"Thurston, Edgar",,,1275
"Hogarth, C. J.",,,1274
"Lawrence, Frederic William",,,1267
"Kirtlan, Ernest J. B.",,,1267
"Richards, Laura Elizabeth Howe",,,1266
"Coussens, Penrhyn Wingfield",,,1265
"Rinehart, Mary Roberts",,,1260
"Sue, Eugène",,,1260
"Conway, Moncure Daniel",,,1256
"Davis, Richard Harding",,,1253
"Thwaites, Reuben Gold",,,1253
"Flaxman, John",,,1249
"Dreiser, Theodore",,,1247
"Wilhelm, Thomas",,,1244
"Goldsmith, Oliver",,,1242
"Lane-Poole, Stanley",,,1240
"Hamilton, Alexander",,,1239
"Washington, Booker T.",,,1238
"Greenaway, Kate",,,1236
"Yule, Henry, Sir",,,1235
Machado de Assis,,,1233
"Brill, A. A.",,,1232
"Carter, Nicholas",,,1227
"Standish, Burt L.",,,1227
"Segalá y Estalella, Luis",,,1227
"Waley, Arthur",,,1219
"Harris, Joel Chandler",,,1218
"Newman, John Henry",,,1215
"Jay, John",,,1213
"Scholtz, Moses",,,1213
"Herzl, Theodor",,,1211
"Stewart, Aubrey",,,1210
"Southey, Robert",,,1208
"Smith, George O.",,,1208
"Johnson, Charles Howard",,,1203
"Berens, E. M.",,,1201
"Paine, Albert Bigelow",,,1201
"Richardson, Samuel",,,1197
"Rachinskii, Sergei Aleksandrovich",,,1193
"Lönnrot, Elias",,,1189
"Sienkiewicz, Henryk",,,1188
"Müller, F. Max",,,1188
"Seltzer, Thomas",,,1185
Epictetus,,,1184
"Besant, Walter",,,1181
"Pound, Ezra",,,1171
"Crawford, F. Marion",,,1171
"Barbour, Ralph Henry",,,1160
"Thrum, Thomas G.",,,1159
"Roget, Peter Mark",,,1159
"Vestal, Herman B.",,,1150
"Harvey, William",,,1149
"Newton, Isaac",,,1148
"Green, Anna Katharine",,,1148
"Barnum, P. T.",,,1148
"Cooper, Susan Fenimore",,,1147
"Polo, Marco",,,1146
"Orr, John William",,,1144
"Arnold, Edwin, Sir",,,1144
"Fabre, Jean-Henri",,,1144
"Casanova, Giacomo",,,1142
"Butcher, S. H.",,,1141
"Schmid, Christoph von",,,1138
"Forester, Thomas",,,1136
"Long, George",,,1135
"Benét, Stephen Vincent",,,1135
"Payne, John",,,1134
"Čapek, Karel",,,1132
"Zangwill, Israel",,,1131
"Owen, Robert Emmett",,,1129
"Matull, Kurt",,,1129
"Dunsany, Lord",,,1128
"Browne, Hablot Knight",,,1128
"Masters, Edgar Lee",,,1125
"Besant, Annie",,,1123
"Molesworth, Mrs.",,,1120
"Dexter, Timothy",,,1118
"Sterne, Laurence",,,1117
Northern Nut Growers Association,,,1117
Snorri Sturluson,,,1115
"Santayana, George",,,1114
"Radcliffe, Ann Ward",,,1113
"Blankensee, Theo von",,,1113
"Smith, E. E.",,,1112
Suetonius,,,1111
Aeschylus,,,1110
"Porter, Eleanor H.",,,1109
"Cordier, Henri",,,1107
"Rusticiano, da Pisa",,,1107
"Hope, Anthony",,,1106
"Webster, John",,,1106
"Mayhew, A. L.",,,1105
"Caldecott, Randolph",,,1103
"Morley, John",,,1103
"Seton, Ernest Thompson",,,1102
"Bein, Alex",,,1102
"Lipsky, Louis",,,1102
"Thomson, Alexander, M.D.",,,1101
"Smith, Jessie Willcox",,,1097
"Browning, Elizabeth Barrett",,,1096
"Silverberg, Robert",,,1096
"Sayce, A. H.",,,1096
"Scott-Moncrieff, C. K.",,,1093
"Hills, E. C.",,,1093
"Relyea, C. M.",,,1089
"Kuperman, Leon",,,1086
"Halsey, Francis W.",,,1082
"Veitch, John",,,1078
"Ingersoll, Robert Green",,,1077
"Rosell, Cayetano",,,1077
"Vaughan, Robert",,,1077
"Freeman, Mary Eleanor Wilkins",,,1073
"Beardsley, Aubrey",,,1072
"Brazil, Angela",,,1071
"Alarcón, Pedro Antonio de",,,1065
"Steele, Robert",,,1063
"More, Thomas, Saint",,,1063
"Leacock, Stephen",,,1062
"Dulac, Edmund",,,1060
"Wraxall, Lascelles, Sir",,,1056
"Mudie, H. Bolingbroke",,,1056
"Ward, Grady",,,1055
"Humboldt, Alexander von",,,1055
"Lagerlöf, Selma",,,1054
"Tarkington, Booth",,,1051
"Lamb, Mary",,,1050
"Lucas, E. V.",,,1047
Erckmann-Chatrian,,,1046
"Johnson, Rossiter",,,1046
"Ashton, John",,,1046
"Pigafetta, Antonio",,,1045
"Appleton, Victor",,,1043
"Koteliansky, S. S.",,,1043
"Doepler, Carl Emil",,,1043
"Record, Robert",,,1040
"Hazlitt, William",,,1039
"Lane, Edward William",,,1038
"Keller, Helen",,,1037
Petronius Arbiter,,,1035
"Buchan, John",,,1034
"Browning, Robert",,,1027
"Ross, Robert Baldwin",,,1025
"Ford, H. J.",,,1023
"Bates, Harry",,,1023
"Webster, Jean",,,1022
"Barrows, David P.",,,1022
"Disraeli, Benjamin, Earl of Beaconsfield",,,1020
"Martin, Eva",,,1020
"Smith, Mary Campbell",,,1019
"Giles, J. A.",,,1017
"Giles, Herbert Allen",,,1017
"Cowper, William",,,1015
"Markham, Clements R.",,,1011
"Alexander, de Villa Dei",,,1011
"Sacro Bosco, Joannes de, active 1230",,,1011
"Petrarca, Francesco",,,1010
"Martineau, Harriet",,,1008
"Wrenn, Charles L.",,,1008
"Baldwin, James",,,1007
"Burroughs, John",,,1006
"Allen, Grant",,,1005
"Guerber, H. A.",,,1003
"Weston, Jessie L.",,,1003
"Mahan, A. T.",,,1001
"Mikszáth, Kálmán",,,999
"McGuffey, William Holmes",,,992
"Upton, George P.",,,988
"Van Dongen, H. R.",,,987
"Abbott, Thomas Kingsmill",,,983
"Firebaugh, W. C.",,,981
"Loti, Pierre",,,981
"Millar, H. R.",,,980
"Motteux, Peter Anthony",,,979
"Casas, Bartolomé de las",,,978
"Goble, Warwick",,,978
"Lessing, Gotthold Ephraim",,,977
"Coleridge, Ernest Hartley",,,977
"Bower, B. M.",,,977
"Michelet, Jules",,,976
"Hale, Edward Everett",,,974
"Kuprin, A. I.",,,972
"Valéry, Paul",,,971
United States,,,970
"Rabelais, François",,,970
"Bourget, Paul",,,969
"Fornander, Abraham",,,968
"Bridgman, L. J.",,,967
"Poole, Edward Stanley",,,965
"Mariano, Patricio",,,965
"Talvio, Maila",,,964
"Symonds, John Addington",,,964
"Wallace, Grace, Lady",,,963
"Stiles, William Curtis",,,962
"Scott, Robert",,,962
"Cobb, Irvin S.",,,960
"Sologub, Fyodor",,,958
"Cole, G. D. H.",,,956
"Beerbohm, Max, Sir",,,955
"Frost, Robert",,,955
"Heine, Heinrich",,,955
"Curtin, Jeremiah",,,953
"Anderson, Rasmus Björn",,,951
"Anderson, Sherwood",,,950
"Scott, Cyril",,,948
Project Gutenberg,,,948
"Roberts, Charles G. D., Sir",,,947
"Grant, James",,,946
"Eliot, Charles William",,,946
"Dickinson, Emily",,,942
"Bailey, Arthur Scott",,,942
"Claretie, Jules",,,941
"Griffis, William Elliot",,,941
"Brooke, L. Leslie",,,938
"Playfair, Nigel",,,937
"Selver, Paul",,,937
"Harper, Charles G.",,,937
"Keller, Arthur Ignatius",,,936
"Walpole, Hugh",,,936
"Edwards, George F.",,,935
"Mitchell, F.",,,935
"Fenn, W. J.",,,935
"Couperus, Louis",,,934
"Roessler, Erwin W.",,,934
"Remy, Alfred",,,934
"Williamson, A. M.",,,933
"Hegel, Georg Wilhelm Friedrich",,,932
"Webster, Noah",,,930
"Congreve, William",,,928
"Kirk, Maria Louise",,,926
"Coolidge, Susan",,,921
"Rainey, W.",,,921
"Cady, Harrison",,,920
"Westerman, Percy F.",,,917
"Knight, William Angus",,,916
"Anderson, Poul",,,915
"Urquhart, Thomas, Sir",,,913
