Titulo Principal,Titulo Secundario,Autor,N° Ref
The Jungle Book,,Rudyard Kipling,200
The Ten Books on Architecture,,Vitruvius Pollio,198
The Marriage of Heaven and Hell,,William Blake,198
"The Awakening, and Selected Short Stories",,Kate Chopin,198
Paradise Lost,,John Milton,197
Antiquities of the Jews,,Flavius Josephus,197
"The Mahabharata of Krishna-Dwaipayana Vyasa, Volume 1",,,195
The Iliad,,Homer,190
Die Verwandlung,,Franz Kafka,190
The Works of Edgar Allan Poe — Volume 1,,Edgar Allan Poe,190
The Monkey's Paw,,W. W.  Jacobs,188
The Strange Case of Dr. Jekyll and Mr. Hyde,,Robert Louis Stevenson,188
The Social Contract & Discourses,,Jean-Jacques Rousseau,184
Dao De Jing: A Minimalist Translation,,Laozi,184
This Side of Paradise,,F. Scott  Fitzgerald,183
El paraíso perdido,,John Milton,181
"The Happy Prince, and Other Tales",,Oscar Wilde,180
Don Juan,,Baron George Gordon Byron Byron,177
Medea of Euripides,,Euripides,176
The Masque of the Red Death,,Edgar Allan Poe,176
The Idiot,,Fyodor Dostoyevsky,175
The Lady with the Dog and Other Stories,,Anton Pavlovich Chekhov,175
The Republic of Plato,,Plato,175
A Pickle for the Knowing Ones,,Timothy Dexter,175
Aesop's Fables; a new translation,,Aesop,174
Mi Ultimo Adiós,,José Rizal,173
On War,,Carl von Clausewitz,173
Discourse on the Method of Rightly Conducting One's Reason and of Seeking Truth in the Sciences,,,172
Complete Original Short Stories of Guy De Maupassant,,Guy de Maupassant,171
"Ang ""Filibusterismo""",,José Rizal,171
The Protocols and world revolution :,,Sergiei Nilus,171
The Gift of the Magi,,O. Henry,170
When freemen shall stand,,Nelson S. Bond,169
The Cask of Amontillado,,Edgar Allan Poe,169
Mansfield Park,,Jane Austen,169
The island of Doctor Moreau,,H. G.  Wells,167
On the Duty of Civil Disobedience,,Henry David Thoreau,166
Cyclopedia of illustrations for public speakers :,,,166
"The Twilight of the Idols; or, How to Philosophize with the Hammer. The Antichrist",,Nietzsche,165
La Odisea,,Homer,164
I. Beówulf: an Anglo-Saxon poem. II. The fight at Finnsburh: a fragment.,,,164
Utopia,,Saint Thomas More,164
Symposium,,Plato,164
Bleak House,,Charles Dickens,161
The Travels of Marco Polo — Volume 1,,Marco Polo and da Pisa Rusticiano,161
White Fang,,Jack London,161
The Tempest,,William Shakespeare,160
An Essay on Man; Moral Essays and Satires,,Alexander Pope,159
R.U.R.,,Karel Čapek,158
Apology,,Plato,156
In Praise of Folly,,Desiderius Erasmus,155
Poems,,"Emily Dickinson, Three Series, Complete by Emily Dickinson",155
Southern Horrors: Lynch Law in All Its Phases,,Ida B. Wells-Barnett,155
Just so stories,,Rudyard Kipling,155
"The Thousand and One Nights, Vol. I.",,,154
A Midsummer Night's Dream,,William Shakespeare,153
The Antichrist,,Friedrich Wilhelm Nietzsche,153
The Poetics of Aristotle,,Aristotle,152
Up from Slavery: An Autobiography,,Booker T. Washington,151
Mosses from an old manse,,Nathaniel Hawthorne,151
Riders to the Sea,,J. M.  Synge,151
Bede's Ecclesiastical History of England,,Saint the Venerable Bede,151
The Eyes Have It,,Philip K. Dick,151
The Sun Also Rises,,Ernest Hemingway,151
The art of money getting :,,P. T.  Barnum,151
The Last of the Mohicans; A narrative of 1757,,James Fenimore Cooper,150
Heavens and Earth :,,Stephen Vincent Benét,150
"Divine Comedy, Longfellow's Translation, Hell",,Dante Alighieri,149
The Arabian Nights Entertainments,,Andrew Lang,149
Three Men in a Boat,,Jerome K.  Jerome,149
The Waste Land,,T. S.  Eliot,149
The Aeneid,,Virgil,149
The Trial,,Franz Kafka,148
Mrs. Dalloway,,Virginia Woolf,148
The Age of Innocence,,Edith Wharton,147
The Anabasis of Alexander,,Arrian,146
Uncle Vanya: Scenes from Country Life in Four Acts,,Anton Pavlovich Chekhov,146
An Enemy of the People,,Henrik Ibsen,145
The Innocents Abroad,,Mark Twain,145
Rizal's own story of his life,,José Rizal,144
The Jewish State,,Theodor Herzl,144
Julius Caesar,,William Shakespeare,144
"The City of God, Volume I",,Bishop of Hippo Saint Augustine,144
"Shakespearean Tragedy: Lectures on Hamlet, Othello, King Lear, Macbeth",,A. C.  Bradley,144
The Declaration of Independence of the United States of America,,Thomas Jefferson,143
The Fall of the House of Usher,,Edgar Allan Poe,143
Twelve Years a Slave,,Solomon Northup,143
The Enchiridion,,Epictetus,143
Leaves of Grass,,Walt Whitman,142
A History of the Philippines,,David P. Barrows,142
The Flowers of Evil,,Charles Baudelaire,142
The Tale of Peter Rabbit,,Beatrix Potter,142
"Bartleby, the Scrivener: A Story of Wall-Street",,Herman Melville,141
"The Man-Eaters of Tsavo, and Other East African Adventures",,J. H.  Patterson,140
Around the World in Eighty Days,,Jules Verne,140
North and South,,Elizabeth Cleghorn Gaskell,140
Essays,,Ralph Waldo Emerson by Ralph Waldo Emerson,140
Perpetual Peace: A Philosophical Essay,,Immanuel Kant,139
Trois femmes,,Pierre Mille,139
Rip Van Winkle,,Washington Irving,138
The Mysterious Affair at Styles,,Agatha Christie,138
Doña Perfecta,,Benito Pérez Galdós,138
The Grand Inquisitor,,Fyodor Dostoyevsky,137
"The History of Don Quixote, Volume 1, Complete",,Miguel de Cervantes Saavedra,135
"The Philippine Islands, 1493-1898 — Volume 07 of 55",,,135
The Picture of Dorian Gray,,Oscar Wilde,134
The Song Celestial,,,133
Moby Word Lists,,Word Lists by Grady Ward,132
The Satyricon — Complete,,Petronius Arbiter,132
Democracy in America — Volume 2,,Alexis de Tocqueville,132
A Journey to the Centre of the Earth,,Jules Verne,132
A Journal of the Plague Year,,Daniel Defoe,131
The Wendigo,,Algernon Blackwood,131
The Book of the Courtier,,conte Baldassarre Castiglione,129
Filiations,,Jacques Bainville,129
Les Fleurs du Mal,,Charles Baudelaire,129
Peter and Wendy,,J. M.  Barrie,129
The Phantom of the Opera,,Gaston Leroux,128
The possessed :,,Fyodor Dostoyevsky,128
A First Spanish Reader,,Alfred Remy and Erwin W.  Roessler,128
Les trois mousquetaires,,Alexandre Dumas and Auguste Maquet,127
Der Struwwelpeter,,Heinrich Hoffmann,127
Tess of the d'Urbervilles: A Pure Woman,,Thomas Hardy,126
Cyrano de Bergerac,,Edmond Rostand,126
"Othello, the Moor of Venice",,William Shakespeare,126
The Merchant of Venice,,William Shakespeare,125
"The History of Rome, Books 01 to 08",,Livy,125
Much Ado about Nothing,,William Shakespeare,124
Black Beauty,,Anna Sewell,124
A Concise Dictionary of Middle English from A.D. 1150 to 1580,,A. L.  Mayhew and Walter W.  Skeat,124
"Le comte de Monte-Cristo, Tome I",,Alexandre Dumas and Auguste Maquet,124
"The Ladies' Book of Etiquette, and Manual of Politeness",,Florence Hartley,123
Best Russian Short Stories,,,123
A Connecticut Yankee in King Arthur's Court,,Mark Twain,123
The Red Badge of Courage: An Episode of the American Civil War,,Stephen Crane,122
An Occurrence at Owl Creek Bridge,,Ambrose Bierce,121
Phaedo,,Plato,121
Korean—English Dictionary,,Leon Kuperman,120
The History of the Decline and Fall of the Roman Empire,,Edward Gibbon,120
The Lady of the Lake,,Walter Scott,120
The House of Mirth,,Edith Wharton,120
The Pickwick Papers,,Charles Dickens,119
A Christmas Carol,,Charles Dickens,119
Fairy Tales of Hans Christian Andersen,,H. C.  Andersen,119
The Divine Comedy of Dante Alighieri: The Inferno,,Dante Alighieri,118
The Devil's Dictionary,,Ambrose Bierce,117
Salomé: A Tragedy in One Act,,Oscar Wilde,117
How We Think,,John Dewey,116
The Online World,,Odd De Presno,116
"The Rape of the Lock, and Other Poems",,Alexander Pope,116
The Interpretation of Dreams,,Sigmund Freud,115
The three musketeers,,Alexandre Dumas and Auguste Maquet,114
"Poems on various subjects, religious and moral",,Phillis Wheatley,114
The Elementary Forms of the Religious Life,,Émile Durkheim,113
The Federalist Papers,,Alexander Hamilton and John Jay and James Madison,113
"Great short stories, Volume 1",,,113
"The Extraordinary Adventures of Arsène Lupin, Gentleman-Burglar",,Maurice Leblanc,113
Os Lusíadas,,Luís de Camões,112
Ivanhoe: A Romance,,Walter Scott,112
"Winesburg, Ohio: A Group of Tales of Ohio Small Town Life",,Sherwood Anderson,112
Life Is a Dream,,Pedro Calderón de la Barca,112
"The Mysterious Stranger, and Other Stories",,Mark Twain,111
My Bondage and My Freedom,,Frederick Douglass,111
The Scarlet Pimpernel,,Baroness Emmuska Orczy Orczy,111
Hevosmiehiä :,,Väinö Kataja,110
The Wind in the Willows,,Kenneth Grahame,110
Fox's Book of Martyrs,,John Foxe,110
Anne of the Island,,L. M.  Montgomery,110
Poirot Investigates,,Agatha Christie,109
The Tenniel Illustrations for Carroll's Alice in Wonderland,,John Tenniel,109
The Alchemist,,Ben Jonson,109
Roget's Thesaurus of English Words and Phrases,,Peter Mark Roget,109
"The Philippine Islands, 1493-1898, Volume 33, 1519-1522",,Antonio Pigafetta,109
La Divina Comedia,,Dante Alighieri,109
The Woman in White,,Wilkie Collins,108
Silas Marner,,George Eliot,108
Twelfth Night,What You Will,William Shakespeare,108
The Murder on the Links,,Agatha Christie,107
Charmes,,Paul Valéry,107
A passage to India,,E. M.  Forster,107
The Tragedy of King Lear,,William Shakespeare,106
The Raven,,Edgar Allan Poe,106
The Railway Children,,E.  Nesbit,105
The Complete Poetical Works of Edgar Allan Poe,,Edgar Allan Poe,105
Euthyphro,,Plato,105
The Angel in the House,,Coventry Patmore,105
The Gilded Age: A Tale of Today,,Mark Twain and Charles Dudley Warner,105
The Wind in the Willows,,Kenneth Grahame,105
"Bacon's Essays, and Wisdom of the Ancients",,Francis Bacon,104
Helps to Latin Translation at Sight,,Edmund Luce,104
"The Garden Party, and Other Stories",,Katherine Mansfield,104
Swann's Way,,Marcel Proust,104
The Analysis of Mind,,Bertrand Russell,103
"Personal Memoirs of U. S. Grant, Complete",,Ulysses S.  Grant,103
Life on the Mississippi,,Mark Twain,103
Philippine Folk Tales,,,103
The Common Law,,Oliver Wendell Holmes,103
Lady Windermere's Fan,,Oscar Wilde,102
The call of Cthulhu,,H. P.  Lovecraft,102
The Confessions of Jean Jacques Rousseau — Complete,,Jean-Jacques Rousseau,102
Revelations of Divine Love,,,102
The Aeneid of Virgil,,Virgil,102
"The Lives of the Twelve Caesars, Complete",,Suetonius,102
"Shelters, Shacks and Shanties",,Daniel Carter Beard,102
Baron Trump's Marvellous Underground Journey,,Ingersoll Lockwood,102
Utilitarianism,,John Stuart Mill,102
The Return of Sherlock Holmes,,Arthur Conan Doyle,101
"Lyrical Ballads, With a Few Other Poems",,Samuel Taylor Coleridge and William Wordsworth,1798
A Little Princess,,Frances Hodgson Burnett,101
"The Land Beyond the Forest: Facts, Figures, and Fancies from Transylvania",,E.  Gerard,101
The Aesop for Children,,Aesop,101
"The Memoirs of the Conquistador Bernal Diaz del Castillo, Vol 1",,Bernal Díaz del Castillo,101
Project Gutenberg Compilation of Short Stories,,Chekhov by Anton Pavlovich Chekhov,100
The Subjection of Women,,John Stuart Mill,100
Twice-told tales,,Nathaniel Hawthorne,100
"On Heroes, Hero-Worship, and the Heroic in History",,Thomas Carlyle,99
Herland,,Charlotte Perkins Gilman,99
The Wars of the Jews,The History of the Destruction of Jerusalem,Flavius Josephus,99
The Rhinegold & The Valkyrie,,Richard Wagner,99
The Memoirs of Sherlock Holmes,,Arthur Conan Doyle,99
Lady Audley's Secret,,M. E.  Braddon,99
Gorgias,,Plato,98
The Age of the Reformation,,Preserved Smith,98
The Valley of Fear,,Arthur Conan Doyle,98
Spanish Tales for Beginners,,,98
Darkwater: Voices from Within the Veil,,W. E. B.  Du Bois,97
As a man thinketh,,James Allen,97
Notre-Dame de Paris,,Victor Hugo,97
A Vindication of the Rights of Woman,,Mary Wollstonecraft,96
We,,Evgenii Ivanovich Zamiatin,96
九命奇冤,,Jianren Wu,95
A Course of Pure Mathematics,,G. H.  Hardy,95
Tender Buttons,,Gertrude Stein,95
The Argonautica,,Rhodius Apollonius,95
Andersen's Fairy Tales,,H. C.  Andersen,94
Gulliver's Travels into Several Remote Regions of the World,,Jonathan Swift,94
Argonauts of the Western Pacific,,Bronislaw Malinowski,94
Miscellaneous Writings and Speeches — Volume 4,,Baron Thomas Babington Macaulay Macaulay,94
The Odyssey,,Homer,93
The Canterville Ghost,,Oscar Wilde,93
La Asocio de la Junuloj: Dramo en kvin aktoj,,Henrik Ibsen,93
The Great God Pan,,Arthur Machen,92
The Nuttall Encyclopædia,,P. Austin Nuttall,92
"The Doré Bible Gallery, Complete",,,92
Madame Bovary,,Gustave Flaubert,91
Also sprach Zarathustra: Ein Buch für Alle und Keinen,,Friedrich Wilhelm Nietzsche,91
"Plutarch's Lives, Volume 1",,Plutarch,91
A Dictionary of Cebuano Visayan,,John U. Wolff,91
Letters of Abelard and Heloise,,Peter Abelard and Héloïse,91
Troilus and Criseyde,,Geoffrey Chaucer,91
Fundamental Principles of the Metaphysic of Morals,,Immanuel Kant,90
西遊記,,Cheng'en Wu,90
The Sea-Wolf,,Jack London,90
Democracy and Education: An Introduction to the Philosophy of Education,,John Dewey,90
The Tragedy of Pudd'nhead Wilson,,Mark Twain,90
John F. Kennedy's Inaugural Address,,John F.  Kennedy,90
Vanity Fair,,William Makepeace Thackeray,89
Dead Souls,,Nikolai Vasilevich Gogol,89
A Child's Garden of Verses,,Robert Louis Stevenson,89
The Merry Adventures of Robin Hood,,Howard Pyle,89
"""Everyman,"" with other interludes, including eight miracle plays",,,89
The Way of the World,,William Congreve,89
The Letters of Wolfgang Amadeus Mozart — Volume 01,,Wolfgang Amadeus Mozart,89
Alice's Adventures in Wonderland,,Lewis Carroll,88
The Sailor's Word-Book,,W. H.  Smyth,88
"Human, All Too Human: A Book for Free Spirits",,Friedrich Wilhelm Nietzsche,88
"What Men Live By, and Other Tales",,graf Leo Tolstoy,88
The Complete Herbal,,Nicholas Culpeper,88
A Brief Account of the Destruction of the Indies,,Bartolomé de las Casas,88
A Shropshire Lad,,A. E.  Housman,88
Something of Men I Have Known,,Adlai E.  Stevenson,88
Erewhon,Over the Range,Samuel Butler,87
Pride and Prejudice,,Jane Austen,87
Fifteen sonnets of Petrarch,,Francesco Petrarca,87
Shakespeare's Sonnets,,William Shakespeare,87
The Anglo-Saxon Chronicle,,,87
Arms and the Man,,Bernard Shaw,87
Le Morte d'Arthur: Volume 2,,Sir Thomas Malory,87
"A Biblia Sagrada, Contendo o Velho e o Novo Testamento",,,87
Ghosts,,Henrik Ibsen,86
Don Juan Tenorio,,José Zorrilla,86
Paradise Lost,,John Milton,86
"Arsène Lupin, gentleman-cambrioleur",,Maurice Leblanc,86
"1900; or, The last President",,Ingersoll Lockwood,86
Filipino Popular Tales,,,86
Ecce Homo,,Friedrich Wilhelm Nietzsche,86
Aesop's Fables,,Aesop,85
Canada West,,,85
Myths of the Cherokee,,James Mooney,85
A Treatise of Human Nature,,David Hume,85
Platero y yo,,Juan Ramón Jiménez,85
El árbol de la ciencia: novela,,Pío Baroja,85
The Mill on the Floss,,George Eliot,85
Omens and Superstitions of Southern India,,Edgar Thurston,84
The Ballad of the White Horse,,G. K.  Chesterton,84
"The Forme of Cury: A Roll of Ancient English Cookery Compiled, about A.D. 1390",,Samuel Pegge,84
The Legends of King Arthur and His Knights,,Sir James Knowles and Sir Thomas Malory,84
The Poems of Sappho: An Interpretative Rendition into English,,Sappho,84
The Beggar's Opera; to Which is Prefixed the Musick to Each Song,,John Gay,84
The Scarlet Letter,,Nathaniel Hawthorne,84
The Mysteries of Udolpho,,Ann Ward Radcliffe,83
A Vindication of the Rights of Woman,,Mary Wollstonecraft,83
Anne of Avonlea,,L. M.  Montgomery,83
Adventures of Huckleberry Finn,,Mark Twain,83
The Battle with the Slum,,Jacob A.  Riis,83
"The story of the universe, told",,great scientists and popular authors. Volume 1,83
Sister Carrie: A Novel,,Theodore Dreiser,83
Spoon River Anthology,,Edgar Lee Masters,82
"The Spectator, Volume 1",,Joseph Addison and Sir Richard Steele,82
In our time,,Ernest Hemingway,82
An Account of Egypt,,Herodotus,82
The Art of Public Speaking,,Dale Carnegie and J. Berg  Esenwein,82
"The Younger Edda; Also called Snorre's Edda, or The Prose Edda",,Snorri Sturluson,82
The Discoverie of Witchcraft,,Reginald Scot,81
Wilhelm Tell,,Friedrich Schiller,81
The Beast in the Jungle,,Henry James,81
"The Country of the Blind, and Other Stories",,H. G.  Wells,81
"The Task, and Other Poems",,William Cowper,81
Les liaisons dangereuses,,Choderlos de Laclos,81
Daisy Miller: A Study,,Henry James,80
Biographia Literaria,,Samuel Taylor Coleridge,80
"The Mantle, and Other Stories",,Nikolai Vasilevich Gogol,80
The Open Boat and Other Stories,,Stephen Crane,79
The Joyful Wisdom,,Friedrich Wilhelm Nietzsche,79
雲形紋章,,John Meade Falkner,78
The Sketch-Book of Geoffrey Crayon,,Washington Irving,78
Etiquette,,Emily Post,78
Chess Fundamentals,,José Raúl Capablanca,78
The Blue Fairy Book,,Andrew Lang,78
The Golden Bough: A Study of Magic and Religion,,James George Frazer,78
