Titulo Principal,Titulo Secundario,Autor,N° Ref
Father Goriot,,Honoré de Balzac,311
灵历集光,,Shangjie Song,311
Fifteen Thousand Useful Phrases,,Grenville Kleiser,311
The Notebooks of Leonardo Da Vinci — Complete,,da Vinci Leonardo,311
Bible animals :,,J. G.  Wood,310
The United States Constitution,,United States,310
"The Vision and Creed of Piers Ploughman, Volume 1",,William Langland,309
"Notes and Queries, Vol. III, Number 87, June 28, 1851",,Various,309
Siddhartha: eine indische Dichtung,,Hermann Hesse,309
"The Natural History of Pliny, Volume 1",,the Elder Pliny,309
She,,H. Rider  Haggard,309
Demian,,Hermann Hesse,309
The Battle with the Slum,,Jacob A.  Riis,308
The Power of Mesmerism,,Anonymous,308
How to Live on 24 Hours a Day,,Arnold Bennett,308
Four Arthurian Romances,,active 12th century de Troyes Chrétien,307
Roget's Thesaurus,,Peter Mark Roget,307
Monday or Tuesday,,Virginia Woolf,307
"Encyclopaedia Britannica, 11th Edition, ""Bent, James"" to ""Bibirine""",,Various,307
"Bushido, the Soul of Japan",,Inazo Nitobe,306
"Ancient Nahuatl Poetry, Containing the Nahuatl Text of XXVII Ancient Mexican Poems",,Brinton,306
The Convent School,Early Experiences of a Young Flagellant,Rosa Belinda Coote,306
Discourses on the First Decade of Titus Livius,,Niccolò Machiavelli,306
"Dhammapada, a Collection of Verses; Being One of the Canonical Books of the Buddhists",,,305
"The Bible, Douay-Rheims, Complete",,,305
Creative Chemistry: Descriptive of Recent Achievements in the Chemical Industries,,Slosson,304
"The Schoolmistress, and Other Stories",,Anton Pavlovich Chekhov,304
Das Kreuz im Venn :,,Clara Viebig,304
Lucian's True History,,of Samosata Lucian,304
The American Diary of a Japanese Girl,,Yoné Noguchi,303
The Pioneers,The Sources of the Susquehanna,James Fenimore Cooper,303
The Tragedy of Romeo and Juliet,,William Shakespeare,302
The Book of Tea,,Kakuzo Okakura,302
An Introduction to Mathematics,,Alfred North Whitehead,302
The Rime of the Ancient Mariner,,Samuel Taylor Coleridge,302
El Hombre Mediocre: Ensayo de psicologia y moral,,José Ingenieros,302
Kant's Prolegomena to Any Future Metaphysics,,Immanuel Kant,301
Nathan the Wise; a dramatic poem in five acts,,Gotthold Ephraim Lessing,301
Following the Equator: A Journey Around the World,,Mark Twain,301
"The History of Mary Prince, a West Indian Slave",,Mary Prince,301
Now we are six,,A. A.  Milne,301
"The passing of the great race; or, The racial basis of European history",,Madison Grant,301
The Birds,,Aristophanes,301
The Imaginary Invalid,,Molière,301
Men without women,,Ernest Hemingway,300
Surgical Anatomy,,Joseph Maclise,300
The Book of Household Management,,Mrs.  Beeton,300
Faust: Der Tragödie erster Teil,,Johann Wolfgang von Goethe,299
"The Essays or Counsels, Civil and Moral",,Francis Bacon,299
Letters of Two Brides,,Honoré de Balzac,298
Buddenbrooks: Verfall einer Familie,,Thomas Mann,297
The Fortunes and Misfortunes of the Famous Moll Flanders,,Daniel Defoe,297
The First Blast of the Trumpet against the monstrous regiment of Women,,John Knox,297
Babbitt,,Sinclair Lewis,297
Outline of the history of the English language and literature,,Anonymous,297
The United States Bill of Rights,,United States,297
The Piazza Tales,,Herman Melville,296
"How to Tell a Story, and Other Essays",,Mark Twain,295
"Ragged Dick,",Street Life in New York with the Boot-Blacks,Jr. Horatio Alger,295
"Obras Completas de Luis de Camões, Tomo II",,Luís de Camões,295
Pictures from Italy,,Charles Dickens,295
The Dawn of Day,,Friedrich Wilhelm Nietzsche,294
The Wonders of the Invisible World,,Cotton Mather and Increase Mather,294
At the mountains of madness,,H. P.  Lovecraft,294
Memoirs of General William T. Sherman — Complete,,William T.  Sherman,293
Nostromo: A Tale of the Seaboard,,Joseph Conrad,292
The Outline of History: Being a Plain History of Life and Mankind,,H. G.  Wells,292
My Reminiscences,,Rabindranath Tagore,291
The Financier: A Novel,,Theodore Dreiser,291
"The Histories of Polybius, Vol. 1",,Polybius,290
"Current History, Vol. VIII, No. 3, June 1918",,Various,290
"The Life of St. Teresa of Jesus, of the Order of Our Lady of Carmel",,Saint of Avila Teresa,289
The Varieties of Religious Experience: A Study in Human Nature,,William James,289
The Uncommercial Traveller,,Charles Dickens,289
An Old Babylonian Version of the Gilgamesh Epic,,Albert Tobias Clay and Morris Jastrow,289
Little Lord Fauntleroy,,Frances Hodgson Burnett,288
"""The Kingdom of God Is Within You""",,graf Leo Tolstoy,288
"Shakespeare, William",,,54727
"Shelley, Mary Wollstonecraft",,,42575
"Dickens, Charles",,,37403
"Smollett, T.",,,30402
"Twain, Mark",,,29041
"Austen, Jane",,,29007
"Wilde, Oscar",,,23979
"Dostoyevsky, Fyodor",,,22525
"Dumas, Alexandre",,,21383
"Melville, Herman",,,21075
"Doyle, Arthur Conan",,,20837
"Hawthorne, Nathaniel",,,19145
"Nietzsche, Friedrich Wilhelm",,,19022
"Garnett, Constance",,,18909
"Montgomery, L. M.",,,18372
"Maquet, Auguste",,,18008
"Alcott, Louisa May",,,17978
"Carroll, Lewis",,,17652
"Stevenson, Robert Louis",,,16717
"Eliot, George",,,15968
Plato,,,15760
"Forster, E. M.",,,14581
"Jowett, Benjamin",,,14433
Homer,,,13538
"Merrill, Frank T.",,,13171
"Wells, H. G.",,,13145
"Ibsen, Henrik",,,13047
"Foote, Mary Hallock",,,12724
"Ipsen, Ludvig Sandöe",,,12573
"Anthony, A. V. S.",,,12573
"Widger, David",,,12462
"Poe, Edgar Allan",,,12343
"Gaskell, Elizabeth Cleghorn",,,12328
"Irving, Washington",,,11944
"Tolstoy, Leo, graf",,,11604
"Rizal, José",,,11512
"Von Arnim, Elizabeth",,,11118
"Fielding, Henry",,,10907
"Hugo, Victor",,,10861
"Kafka, Franz",,,10737
"Wagner, Richard",,,10566
"Swift, Jonathan",,,10523
"Brock, C. E.",,,10426
"Cervantes Saavedra, Miguel de",,,10291
"Verne, Jules",,,10206
"Doré, Gustave",,,10064
"Conrad, Joseph",,,9855
"Stoker, Bram",,,9827
"Joyce, James",,,9122
"Fitzgerald, F. Scott",,,9075
"Wyllie, David",,,8763
"James, Henry",,,8569
"Kipling, Rudyard",,,8560
"London, Jack",,,8525
"Baum, L. Frank",,,8442
"Chesterton, G. K.",,,8390
Dante Alighieri,,,8288
"Russell, Bertrand",,,7889
"Lang, Andrew",,,7861
"Goethe, Johann Wolfgang von",,,7808
"Morley, Henry",,,7793
"Gilman, Charlotte Perkins",,,7683
"Pope, Alexander",,,7562
"Kemble, E. W.",,,7540
"Chekhov, Anton Pavlovich",,,7538
"Balzac, Honoré de",,,7454
"Patten, William",,,7078
"Du Bois, W. E. B.",,,6967
"Burton, Richard Francis, Sir",,,6794
"Christie, Agatha",,,6753
"Leech, John",,,6734
"Levy, Oscar",,,6554
"Defoe, Daniel",,,6500
"Scott, Walter",,,6432
"Grimm, Jacob",,,6427
"Grimm, Wilhelm",,,6427
"Locke, John",,,6419
"Maupassant, Guy de",,,6365
"Butler, Samuel",,,6220
"Shaw, Bernard",,,6207
"Thoreau, Henry David",,,6192
"Wharton, Edith",,,6043
"Kant, Immanuel",,,6037
"Brontë, Charlotte",,,5922
"Bell, George",,,5730
"Machiavelli, Niccolò",,,5720
"Robertson, James Alexander",,,5637
"Hobbes, Thomas",,,5622
"Rackham, Arthur",,,5491
"Maude, Aylmer",,,5459
"Mill, John Stuart",,,5422
Voltaire,,,5417
"Derbyshire, Charles E.",,,5309
"Maude, Louise",,,5200
"Hall, J. Lesslie",,,5195
"Common, Thomas",,,5145
"Burroughs, Edgar Rice",,,5143
"Blair, Emma Helen",,,5112
"Augustine, Saint, Bishop of Hippo",,,5100
"Townsend, F. H.",,,5083
"Proust, Marcel",,,5075
"Ormsby, John",,,5065
Aristotle,,,4984
"Bourne, Edward Gaylord",,,4957
"Murray, Gilbert",,,4888
"Barrie, J. M.",,,4746
"Hardy, Thomas",,,4703
"Chambers, Robert W.",,,4698
"Burnett, Frances Hodgson",,,4676
"Buckley, Theodore Alois",,,4632
"Marriott, W. K.",,,4554
"Jonson, Ben",,,4528
"Lytton, Edward Bulwer Lytton, Baron",,,4446
"Flaubert, Gustave",,,4395
"Byron, George Gordon Byron, Baron",,,4345
"Malory, Thomas, Sir",,,4173
"Milne, A. A.",,,4171
"Zimmern, Helen",,,4163
"Douglass, Frederick",,,4144
Aesop,,,4142
"Darwin, Charles",,,4054
"Marlowe, Christopher",,,4042
"Schopenhauer, Arthur",,,3993
"Roosevelt, Theodore",,,3933
"Milton, John",,,3923
"Le Fanu, Joseph Sheridan",,,3906
"Bierce, Ambrose",,,3892
"Lawrence, D. H.",,,3884
"Wodehouse, P. G.",,,3797
"Potter, Beatrix",,,3771
"Yeats, W. B.",,,3765
"Zola, Émile",,,3735
"Cary, Henry Francis",,,3676
"Pusey, E. B.",,,3675
"Galsworthy, John",,,3675
"Brontë, Emily",,,3668
"Hapgood, Isabel Florence",,,3602
Xenophon,,,3592
"Hume, David",,,3564
"MacDonald, George",,,3552
"Ruskin, John",,,3532
"Ogden, C. K.",,,3503
"Wittgenstein, Ludwig",,,3472
"Riley, Henry T.",,,3462
"Emerson, Ralph Waldo",,,3445
"Howells, William Dean",,,3442
Ovid,,,3408
"Seaman, Owen",,,3392
"Tagore, Rabindranath",,,3389
"Craig, Austin",,,3370
"Equiano, Olaudah",,,3364
Sophocles,,,3346
"Franklin, Benjamin",,,3345
"Freud, Sigmund",,,3337
"Chambers, Robert",,,3334
"Davidson, Thomas",,,3308
"Dakyns, Henry Graham",,,3298
"Eliot, T. S.",,,3291
"Chaucer, Geoffrey",,,3283
"Thompson, Silvanus P.",,,3262
"Emshwiller, Ed",,,3262
"Collins, Wilkie",,,3229
"Dyce, Alexander",,,3173
"Chambers, William",,,3165
"Shepard, Ernest H.",,,3136
United States. Central Intelligence Agency,,,3103
Vatsyayana,,,3098
"Trollope, Anthony",,,3074
"Belloc, Hilaire",,,3067
United States. Work Projects Administration,,,3060
"Jókai, Mór",,,3050
"Wolf, Edwin",,,3048
"Blackwood, Algernon",,,3038
"Andersen, H. C.",,,3014
"Nesbit, E.",,,3008
"Hesse, Hermann",,,2998
"Indrajit, Bhagavanlal",,,2992
"Bhide, Shivaram Parashuram",,,2992
"Carlyle, Thomas",,,2986
"Rousseau, Jean-Jacques",,,2953
"Jacobs, W. W.",,,2940
"Alger, Horatio, Jr.",,,2933
"Warner, Charles Dudley",,,2920
"Burnand, F. C.",,,2919
Aristophanes,,,2917
"Skeat, Walter W.",,,2898
"Cooper, James Fenimore",,,2894
"Bond, Nelson S.",,,2888
"Ballantyne, R. M.",,,2875
"Ludovici, Anthony M.",,,2862
"Marcus Aurelius, Emperor of Rome",,,2860
"Henty, G. A.",,,2844
Virgil,,,2841
"Starr, Frederick",,,2836
"Stowe, Harriet Beecher",,,2815
"Dick, Philip K.",,,2814
"Blake, William",,,2810
"Kingston, William Henry Giles",,,2810
"Haggard, H. Rider",,,2809
"Pushkin, Aleksandr Sergeevich",,,2783
"Sinclair, Upton",,,2782
"James, William",,,2779
"Henry, O.",,,2777
"Child, Lydia Maria",,,2774
"Cook, Albert S.",,,2771
"Salten, Felix",,,2769
"Glaspell, Susan",,,2751
"Spenser, Edmund",,,2744
"Archer, William",,,2738
"Baudelaire, Charles",,,2732
"France, Anatole",,,2715
"Lebert, Marie",,,2714
"Neill, John R.",,,2690
"Wheatley, Henry B.",,,2689
"Fenn, George Manville",,,2681
"Dewey, John",,,2677
"Cicero, Marcus Tullius",,,2671
"Singleton, Esther",,,2669
"Yonge, Charlotte M.",,,2654
"Schiller, Friedrich",,,2643
"Wood, James, Rev.",,,2639
Valmiki,,,2636
"Sunzi, active 6th century B.C.",,,2630
"Thackeray, William Makepeace",,,2630
"Pérez Galdós, Benito",,,2619
"Montaigne, Michel de",,,2617
"Bell, Clara",,,2578
"Longfellow, Henry Wadsworth",,,2571
"Lovecraft, H. P.",,,2559
"Giles, Lionel",,,2554
"Gosse, Edmund",,,2551
"Ebers, Georg",,,2539
"Leblanc, Maurice",,,2538
"Machen, Arthur",,,2504
"Garis, Howard Roger",,,2503
"Nuttall, P. Austin",,,2498
"Jerome, Jerome K.",,,2497
"Crane, Walter",,,2483
"Johnson, William Savage",,,2482
"Turgenev, Ivan Sergeevich",,,2479
"Frazer, James George",,,2449
Thucydides,,,2445
"Teixeira de Mattos, Alexander",,,2445
"Coleridge, Samuel Taylor",,,2438
Apicius,,,2429
"Josephus, Flavius",,,2401
"Gogol, Nikolai Vasilevich",,,2399
Molière,,,2399
Library of Congress. Copyright Office,,,2393
"Tocqueville, Alexis de",,,2385
"Vehling, Joseph Dommers",,,2372
"Engels, Friedrich",,,2371
"Lockwood, Ingersoll",,,2365
"Smith, Adam",,,2361
"Marx, Karl",,,2359
"Woolf, Virginia",,,2357
"Hazlitt, William Carew",,,2320
"Smith, E. Boyd",,,2309
"Blasco Ibáñez, Vicente",,,2298
"Hoffmann, Heinrich",,,2293
"Gibbon, Edward",,,2290
"Baring-Gould, S.",,,2282
"Whiston, William",,,2272
"Wells-Barnett, Ida B.",,,2269
"Hearn, Lafcadio",,,2239
"Bacon, Francis",,,2229
"Rhead, Louis",,,2221
"Finlay, Virgil",,,2211
"Ganguli, Kisari Mohan",,,2209
"Harte, Bret",,,2206
"Crawley, Richard",,,2203
"Poblete, Pascual Hicaro",,,2203
"Gautier, Théophile",,,2187
"Kennedy, J. M.",,,2185
"Morris, William",,,2184
"Macaulay, G. C.",,,2175
"Taylor, Bayard",,,2165
"Wauchope, George Armstrong",,,2162
"McMaster, Albert Cohn",,,2155
"Henderson, A. E.",,,2155
"Quesada, Louise Charlotte Garstin",,,2155
Plutarch,,,2152
"Reeve, Henry",,,2149
"Burgess, Thornton W.",,,2148
"Gibran, Kahlil",,,2144
"Bennett, Arnold",,,2136
"Aveling, Eleanor Marx",,,2127
"Descartes, René",,,2125
"Stratemeyer, Edward",,,2122
"Griffith, Ralph T. H.",,,2118
Herodotus,,,2113
"Pine, Frank Woodworth",,,2104
"Parker, Gilbert",,,2096
"Borrow, George",,,2096
"Cruikshank, George",,,2095
"Saintsbury, George",,,2086
"Meiklejohn, J. M. D.",,,2086
"Macaulay, Thomas Babington Macaulay, Baron",,,2082
"Fuqua, Robert",,,2080
"Paine, Thomas",,,2067
"Platt, Rutherford Hayes",,,2063
"Luther, Martin",,,2057
Euripides,,,2050
"Holmes, Oliver Wendell",,,2041
"Meredith, George",,,2035
"Rowlandson, Mary White",,,2027
"Freas, Kelly",,,2023
"Spinoza, Benedictus de",,,2010
"Figueiredo, Cândido de",,,2009
"Mencken, H. L.",,,2005
"Howard, Robert E.",,,2001
"Saunders, T. Bailey",,,1995
"Crane, Stephen",,,1980
"Oliphant, Mrs.",,,1979
"Garrett, Randall",,,1970
"Pepys, Samuel",,,1966
"Higginson, Thomas Wentworth",,,1957
"Blavatsky, H. P.",,,1957
"Bull, Charles Livingston",,,1951
"Riis, Jacob A.",,,1942
"Pascal, Blaise",,,1937
"Braybrooke, Richard Griffin, Baron",,,1931
"Clark, William George",,,1919
"Kean, Charles John",,,1914
"Elwes, R. H. M.",,,1908
"Bright, Mynors",,,1907
"Bunyan, John",,,1901
"Long, William J.",,,1896
"Sand, George",,,1893
"Queirós, Eça de",,,1889
"Mann, Thomas",,,1888
"Graham, George R.",,,1885
"Lowell, James Russell",,,1882
"Jacobs, Harriet A.",,,1867
"Whitman, Walt",,,1867
"Calderón, Sofronio G.",,,1857
"Clarke, Harry",,,1849
"Cotton, Charles",,,1849
"Gorky, Maksim",,,1843
"Tenniel, John",,,1830
"Terry, W. E.",,,1826
"Strindberg, August",,,1824
"Pyle, Howard",,,1821
"Samuel, Horace Barnett",,,1820
"Vernon Jones, V. S.",,,1816
"Stockton, Frank R.",,,1810
"Grahame, Kenneth",,,1808
"Baroja, Pío",,,1799
"Milman, Henry Hart",,,1788
"Johnson, Samuel",,,1786
"Wordsworth, William",,,1785
"Winter, Milo",,,1784
"Daudet, Alphonse",,,1766
"Castelo Branco, Camilo",,,1761
"Hemingway, Ernest",,,1751
"Morris, Richard",,,1748
"Wormeley, Katharine Prescott",,,1744
"Lindsay, Norman",,,1740
"Leroux, Gaston",,,1739
"Rogers, Walter S.",,,1732
"Guizot, François",,,1721
"Schmid, Christoph von",,,1719
"Maeterlinck, Maurice",,,1719
"Kingsley, Charles",,,1718
"AlHydar, Majid",,,1715
"Hammerton, J. A.",,,1708
"Glover, John, librarian of Trinity College, Cambridge",,,1707
"Cleland, John",,,1698
"Wollstonecraft, Mary",,,1695
"Walpole, Horace",,,1689
"Erasmus, Desiderius",,,1688
Boethius,,,1676
"Dryden, John",,,1670
"La Fontaine, Jean de",,,1666
"Jefferson, Thomas",,,1660
"Reid, Mayne",,,1658
"Maugham, W. Somerset",,,1656
"Strunk, William",,,1654
"Yonge, Charles Duke",,,1652
"Leinster, Murray",,,1645
"De Quincey, Thomas",,,1639
"Ellis, Havelock",,,1632
"Lindsay, Jack",,,1625
"Boccaccio, Giovanni",,,1625
"Andreyev, Leonid",,,1613
"Braddon, M. E.",,,1613
"Abbott, Jacob",,,1612
"Ellis, Edward Sylvester",,,1609
"De Laurence, L. W.",,,1607
"Orban, Paul",,,1602
"FitzGerald, Edward",,,1595
Laozi,,,1592
"Tacitus, Cornelius",,,1585
"Le Queux, William",,,1580
"Jacobs, Joseph",,,1563
"Grey, Zane",,,1558
"Paget, Walter",,,1547
"Vizetelly, Ernest Alfred",,,1543
Stendhal,,,1539
"Hume, Fergus",,,1536
"Piper, H. Beam",,,1535
"Orczy, Emmuska Orczy, Baroness",,,1535
"McCauley, Harold W.",,,1526
"Vonnegut, Kurt",,,1525
"Flameng, François",,,1523
"Marriage, Ellen",,,1518
"Wiggin, Kate Douglas Smith",,,1509
"Holbein, Hans",,,1508
"Chopin, Kate",,,1506
"Boylan, R. Dillon",,,1502
"Beebe, William",,,1497
"Rolland, Romain",,,1496
"Mille, Pierre",,,1490
"Burke, Edmund",,,1490
Vitruvius Pollio,,,1488
"Addison, Joseph",,,1488
"Ward, Humphry, Mrs.",,,1485
"Leslie, Madeline",,,1484
"Rostand, Edmond",,,1481
"Steele, Richard, Sir",,,1481
"Mabie, Hamilton Wright",,,1480
"Polidori, John William",,,1478
"Lü, Kun",,,1471
"Williams, Blanche Colton",,,1471
"James, H. R.",,,1467
"Rhys, Ernest",,,1465
"Synge, J. M.",,,1460
"Marryat, Frederick",,,1459
"Haussmann, William A.",,,1451
"Meade, L. T.",,,1450
"Huxley, Thomas Henry",,,1446
"Dods, Marcus",,,1439
"Linnell, Bruce R.",,,1438
"Tennyson, Alfred Tennyson, Baron",,,1438
"Sharp, Robert",,,1436
"Harrison, James A.",,,1436
"Hayashi, Kiyotoshi",,,1436
"Motley, John Lothrop",,,1435
"Mérimée, Prosper",,,1428
"Willis, Nathaniel Parker",,,1426
"Brinton, Daniel G.",,,1421
"Smith, Preserved",,,1411
"Lincoln, Abraham",,,1410
"Camões, Luís de",,,1406
"Wells, Carolyn",,,1403
"Hope, Laura Lee",,,1400
"Sue, Eugène",,,1399
"Keats, John",,,1395
"Atkinson, William Walker",,,1386
"Payne, John",,,1382
"Lever, Charles James",,,1379
"Clausewitz, Carl von",,,1375
"Rand, Ayn",,,1372
"Seneca, Lucius Annaeus",,,1368
"Dickerman, Donald Horace",,,1366
"Scott, A. O.",,,1364
"Schoenherr, John",,,1359
"Cather, Willa",,,1354
"Sabatini, Rafael",,,1345
"Selby-Bigge, L. A.",,,1344
"Lodge, Henry Cabot",,,1341
"Legge, James",,,1340
"Cohn, Paul V.",,,1335
"Graham, J. J.",,,1334
"Putnam, David Binney",,,1334
"Cooper, Isabel",,,1334
"Quiller-Couch, Arthur",,,1334
"Franklin, Dwight",,,1334
"Benson, E. F.",,,1333
"Thurston, Edgar",,,1327
"Optic, Oliver",,,1324
"Spyri, Johanna",,,1322
"Aimard, Gustave",,,1320
"Lamb, Charles",,,1318
"Coussens, Penrhyn Wingfield",,,1317
"Honig, Winfried",,,1316
"Lawrence, Frederic William",,,1313
"Stretton, Hesba",,,1313
"Kirtlan, Ernest J. B.",,,1313
"Madison, James",,,1310
"Conway, Moncure Daniel",,,1310
"Benét, Stephen Vincent",,,1304
"Oppenheim, E. Phillips",,,1303
"Perrault, Charles",,,1302
"Dreiser, Theodore",,,1301
"Safford, Mary J.",,,1298
"Nicoll, W. Robertson",,,1290
"Brill, A. A.",,,1287
"Drummond, Henry",,,1285
"Berens, E. M.",,,1284
"Collodi, Carlo",,,1281
"Flaxman, John",,,1280
"Rinehart, Mary Roberts",,,1276
"Churchill, Winston",,,1276
"Hogarth, C. J.",,,1274
"Washington, Booker T.",,,1272
"Yule, Henry, Sir",,,1272
"Goldsmith, Oliver",,,1271
"Stewart, Aubrey",,,1269
"Davis, Richard Harding",,,1263
"Scholtz, Moses",,,1262
"Müller, F. Max",,,1261
"Richards, Laura Elizabeth Howe",,,1261
"Lane-Poole, Stanley",,,1254
"Segalá y Estalella, Luis",,,1254
"Thwaites, Reuben Gold",,,1253
Machado de Assis,,,1250
"Johnson, Charles Howard",,,1238
"Rachinskii, Sergei Aleksandrovich",,,1235
"Hamilton, Alexander",,,1233
"Browne, Hablot Knight",,,1226
"Pound, Ezra",,,1223
"Seltzer, Thomas",,,1223
"Herzl, Theodor",,,1218
"Greenaway, Kate",,,1215
Epictetus,,,1213
"Paine, Albert Bigelow",,,1210
"Jay, John",,,1208
"Waley, Arthur",,,1208
"Standish, Burt L.",,,1208
"Tozer, A. W.",,,1203
"Richardson, Samuel",,,1197
"Lönnrot, Elias",,,1197
"Cooper, Susan Fenimore",,,1195
"Fabre, Jean-Henri",,,1191
"Thrum, Thomas G.",,,1191
"Čapek, Karel",,,1188
"Orr, John William",,,1184
"Steele, Robert",,,1183
"Polo, Marco",,,1181
"Browning, Elizabeth Barrett",,,1179
"Newton, Isaac",,,1175
"Besant, Walter",,,1174
"Arnold, Edwin, Sir",,,1174
"Webster, John",,,1173
"Crawford, F. Marion",,,1171
"Southey, Robert",,,1170
"Smyth, W. H.",,,1169
"Vestal, Herman B.",,,1167
"Smith, George O.",,,1165
"Long, George",,,1160
"Record, Robert",,,1159
"Harvey, William",,,1158
"Forester, Thomas",,,1156
"Butcher, S. H.",,,1155
"Harris, Joel Chandler",,,1154
"Barbour, Ralph Henry",,,1147
"Masters, Edgar Lee",,,1147
Snorri Sturluson,,,1146
"Belcher, Edward, Sir",,,1140
"Sienkiewicz, Henryk",,,1137
"Cordier, Henri",,,1137
"Rusticiano, da Pisa",,,1137
"Sterne, Laurence",,,1135
"Silverberg, Robert",,,1134
"Caldecott, Randolph",,,1133
"Hills, E. C.",,,1133
"Alexander, de Villa Dei",,,1132
"Newman, John Henry",,,1132
"Sacro Bosco, Joannes de, active 1230",,,1132
"Sayce, A. H.",,,1130
Suetonius,,,1128
"Stiles, William Curtis",,,1128
"Owen, Robert Emmett",,,1128
"Scott, Robert",,,1128
"Dexter, Timothy",,,1127
"Beardsley, Aubrey",,,1127
"Dunsany, Lord",,,1126
"Molesworth, Mrs.",,,1124
"Barnum, P. T.",,,1124
"Besant, Annie",,,1124
"Appleton, Victor",,,1123
Aeschylus,,,1120
"Radcliffe, Ann Ward",,,1119
"Thomson, Alexander, M.D.",,,1118
"Casanova, Giacomo",,,1114
"Dulac, Edmund",,,1113
"Santayana, George",,,1112
"Smith, Jessie Willcox",,,1110
"Roget, Peter Mark",,,1109
"Hazlitt, William",,,1107
"Scott-Moncrieff, C. K.",,,1103
"Ward, Grady",,,1100
"Veitch, John",,,1100
"Hope, Anthony",,,1099
"Lipsky, Louis",,,1098
"Bein, Alex",,,1098
"Green, Anna Katharine",,,1096
"Zangwill, Israel",,,1094
"Porter, Eleanor H.",,,1093
"More, Thomas, Saint",,,1092
"Seton, Ernest Thompson",,,1091
"Smith, E. E.",,,1090
"Vaughan, Robert",,,1088
"Rosell, Cayetano",,,1088
"Ross, Robert Baldwin",,,1087
"Morley, John",,,1086
Northern Nut Growers Association,,,1084
"Giles, J. A.",,,1083
"Relyea, C. M.",,,1081
"Guerber, H. A.",,,1080
"Carter, Nicholas",,,1078
"James, G. P. R.",,,1078
"Kuperman, Leon",,,1078
"Leacock, Stephen",,,1077
"Freeman, Mary Eleanor Wilkins",,,1076
"Allen, Grant",,,1075
"Browning, Robert",,,1071
"Giles, Herbert Allen",,,1070
"Doepler, Carl Emil",,,1069
"Mayhew, A. L.",,,1065
"Martineau, Harriet",,,1064
"Lucas, E. V.",,,1064
"Burroughs, John",,,1063
"Martin, Eva",,,1062
"Keller, Helen",,,1061
"Ford, H. J.",,,1061
"Webster, Jean",,,1060
Erckmann-Chatrian,,,1058
"Lamb, Mary",,,1056
"Lane, Edward William",,,1054
"Wrenn, Charles L.",,,1053
"Wilhelm, Thomas",,,1047
"Cole, G. D. H.",,,1045
"Buchan, John",,,1043
Petronius Arbiter,,,1042
"Koteliansky, S. S.",,,1041
"Brazil, Angela",,,1040
"Pigafetta, Antonio",,,1035
"Lagerlöf, Selma",,,1035
"Tarkington, Booth",,,1034
"Cowper, William",,,1033
"Bates, Harry",,,1032
"Ingersoll, Robert Green",,,1032
"Johnson, Rossiter",,,1029
"Petrarca, Francesco",,,1027
"Harper, Charles G.",,,1026
"Smith, Mary Campbell",,,1024
"Barrows, David P.",,,1024
"Michelet, Jules",,,1023
"McGuffey, William Holmes",,,1022
"Mahan, A. T.",,,1020
"Markham, Clements R.",,,1020
"Alarcón, Pedro Antonio de",,,1018
"Abbott, Thomas Kingsmill",,,1017
"Wraxall, Lascelles, Sir",,,1015
"Disraeli, Benjamin, Earl of Beaconsfield",,,1013
"Dickinson, Emily",,,1012
"Hale, Edward Everett",,,1011
"Weston, Jessie L.",,,1010
"Loti, Pierre",,,1008
"Westerman, Percy F.",,,1005
"Kuprin, A. I.",,,1005
"Casas, Bartolomé de las",,,1004
"Wallace, Grace, Lady",,,1004
"Mariano, Patricio",,,1004
"Ashton, John",,,1003
United States,,,1002
"Upton, George P.",,,1001
"Baldwin, James",,,1000
"Anderson, Rasmus Björn",,,995
"Roberts, Charles G. D., Sir",,,994
"Goble, Warwick",,,994
"Firebaugh, W. C.",,,993
"Motteux, Peter Anthony",,,993
"Fornander, Abraham",,,991
"Mudie, H. Bolingbroke",,,990
"Coleridge, Ernest Hartley",,,989
"Anderson, Sherwood",,,989
"Cobb, Irvin S.",,,987
"Lessing, Gotthold Ephraim",,,987
"Grant, James",,,986
"Rabelais, François",,,986
"Sologub, Fyodor",,,984
"Cady, Harrison",,,983
"Bridgman, L. J.",,,979
"Bourget, Paul",,,977
"Poole, Edward Stanley",,,977
"Bower, B. M.",,,974
"Van Dongen, H. R.",,,974
"James, M. R.",,,973
"Humboldt, Alexander von",,,972
"Congreve, William",,,970
"Mitchell, F.",,,968
"Fenn, W. J.",,,968
"Brooke, L. Leslie",,,968
"Edwards, George F.",,,968
"Playfair, Nigel",,,966
"Matull, Kurt",,,966
"Selver, Paul",,,966
"Eliot, Charles William",,,966
"Heine, Heinrich",,,964
"Millar, H. R.",,,961
"Mikszáth, Kálmán",,,960
"Frost, Robert",,,959
"Shuckburgh, Evelyn S.",,,956
"Abbott, John S. C.",,,955
"Griffis, William Elliot",,,953
"Blankensee, Theo von",,,952
"Talvio, Maila",,,950
"Symonds, John Addington",,,947
"Valéry, Paul",,,946
"Couperus, Louis",,,945
"Scott, Cyril",,,945
"Dobson, Austin",,,943
"Wyeth, N. C.",,,940
"Kirk, Maria Louise",,,939
"Curtin, Jeremiah",,,939
"Williamson, A. M.",,,939
"Coolidge, Susan",,,938
"Mansfield, Katherine",,,937
Project Gutenberg,,,937
"Gleichen, Edward, Lord",,,937
"Claretie, Jules",,,932
"Roessler, Erwin W.",,,930
"Remy, Alfred",,,930
"Nohl, Ludwig",,,930
